id,covid
arg-1,True
arg-10,True
arg-100,True
arg-101,True
arg-102,True
arg-103,True
arg-104,True
arg-105,False
arg-106,False
arg-107,False
arg-108,False
arg-109,True
arg-11,False
arg-110,False
arg-111,True
arg-112,False
arg-113,True
arg-114,False
arg-115,False
arg-116,True
arg-117,True
arg-118,True
arg-119,True
arg-12,True
arg-120,True
arg-121,False
arg-122,False
arg-123,False
arg-124,False
arg-125,True
arg-126,True
arg-127,True
arg-128,True
arg-129,True
arg-13,True
arg-130,False
arg-131,False
arg-132,False
arg-133,True
arg-134,True
arg-135,True
arg-136,False
arg-137,True
arg-138,True
arg-139,True
arg-14,True
arg-140,True
arg-141,False
arg-142,False
arg-143,True
arg-144,True
arg-145,True
arg-146,True
arg-147,True
arg-148,True
arg-149,True
arg-15,False
arg-150,True
arg-151,False
arg-152,True
arg-153,True
arg-154,True
arg-155,True
arg-156,True
arg-157,True
arg-158,True
arg-159,False
arg-16,False
arg-160,True
arg-161,True
arg-162,True
arg-163,True
arg-164,True
arg-165,False
arg-166,True
arg-167,True
arg-168,False
arg-169,False
arg-17,False
arg-170,False
arg-171,True
arg-172,True
arg-173,True
arg-174,True
arg-175,True
arg-176,False
arg-177,True
arg-178,True
arg-179,True
arg-18,True
arg-180,True
arg-181,True
arg-182,True
arg-183,False
arg-184,False
arg-19,False
arg-2,True
arg-20,False
arg-21,True
arg-22,False
arg-23,False
arg-24,True
arg-25,False
arg-26,True
arg-27,True
arg-28,True
arg-29,False
arg-3,False
arg-30,True
arg-31,True
arg-32,True
arg-33,False
arg-34,False
arg-35,True
arg-36,True
arg-37,True
arg-38,True
arg-39,True
arg-4,False
arg-40,True
arg-41,True
arg-42,True
arg-43,True
arg-44,True
arg-45,True
arg-46,True
arg-47,True
arg-48,True
arg-49,True
arg-5,True
arg-50,True
arg-51,True
arg-52,True
arg-53,True
arg-54,True
arg-55,True
arg-56,True
arg-57,True
arg-58,True
arg-59,True
arg-6,True
arg-60,False
arg-61,True
arg-62,True
arg-63,True
arg-64,True
arg-65,True
arg-66,True
arg-67,True
arg-68,True
arg-69,True
arg-7,True
arg-70,False
arg-71,False
arg-72,True
arg-73,True
arg-74,True
arg-75,True
arg-76,True
arg-77,False
arg-78,True
arg-79,True
arg-8,True
arg-80,True
arg-81,True
arg-82,False
arg-83,False
arg-84,True
arg-85,True
arg-86,False
arg-87,True
arg-88,True
arg-89,True
arg-9,True
arg-90,True
arg-91,True
arg-92,True
arg-93,True
arg-94,False
arg-95,True
arg-96,True
arg-97,True
arg-98,True
arg-99,True
